Party,Parent Category,Category,Gas,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,1. Energy,1.A Fuel Combustion - Sectoral Approach,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,3104.47,3492.19,3601.61,3776.82,4030.48,3949.38,3882.7,4059.85,4122.24,4458.39,,,,,,
Albania,1. Energy,1.A Fuel Combustion - Sectoral Approach,CH₄,Gg,,,,,,,,,,,4.37,4.39,4.56,4.77,5.07,4.25,5.02,5.09,5.14,5.14,,,,,,
Albania,1. Energy,1.A Fuel Combustion - Sectoral Approach,CO₂,Gg,,,,,,,,,,,2987.9,3372.1,3477.95,3648.75,3896.11,3835.33,3749.38,3925.06,3983.3,4319.45,,,,,,
Albania,1. Energy,1.A Fuel Combustion - Sectoral Approach,N₂O,Gg,,,,,,,,,,,0.08,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.1,0.1,,,,,,
Albania,1. Energy,1.A.1 Energy Industries,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,246.29,248.28,257.85,270.8,286.84,282.89,285.22,288.13,291.62,312.82,,,,,,
Albania,1. Energy,1.A.1 Energy Industries,CH₄,Gg,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,
Albania,1. Energy,1.A.1 Energy Industries,CO₂,Gg,,,,,,,,,,,245.87,247.86,257.43,270.38,286.42,282.47,284.8,287.71,291.2,312.4,,,,,,
Albania,1. Energy,1.A.2 Manufacturing Industries and Construction,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,381.49,467.56,464.64,465.39,501.9,493.37,470.32,506.41,515.31,562.78,,,,,,
Albania,1. Energy,1.A.2 Manufacturing Industries and Construction,CH₄,Gg,,,,,,,,,,,0.12,0.12,0.12,0.13,0.14,0.13,0.13,0.14,0.14,0.14,,,,,,
Albania,1. Energy,1.A.2 Manufacturing Industries and Construction,CO₂,Gg,,,,,,,,,,,372.77,458.84,455.92,456.46,492.76,484.44,461.39,497.27,506.17,553.64,,,,,,
Albania,1. Energy,1.A.2 Manufacturing Industries and Construction,N₂O,Gg,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,
Albania,1. Energy,1.A.3 Transport,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,1817.61,1835.36,1906.07,1996.71,2115.09,2085.95,2103.11,2124.57,2150.31,2306.46,,,,,,
Albania,1. Energy,1.A.3 Transport,CH₄,Gg,,,,,,,,,,,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,
Albania,1. Energy,1.A.3 Transport,CO₂,Gg,,,,,,,,,,,1815.93,1830.58,1901.29,1991.93,2110.1,2080.96,2098.12,2119.58,2145.32,2301.47,,,,,,
Albania,1. Energy,1.A.3 Transport,N₂O,Gg,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,
Albania,1. Energy,1.A.4 Other Sectors,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,659.08,940.99,973.05,1043.92,1126.65,1087.17,1024.05,1140.74,1165.0,1276.33,,,,,,
Albania,1. Energy,1.A.4 Other Sectors,CH₄,Gg,,,,,,,,,,,4.15,4.17,4.34,4.54,4.82,4.01,4.78,4.84,4.89,4.89,,,,,,
Albania,1. Energy,1.A.4 Other Sectors,CO₂,Gg,,,,,,,,,,,553.33,834.82,863.31,929.98,1006.83,987.46,905.07,1020.5,1040.61,1151.94,,,,,,
Albania,1. Energy,1.A.4 Other Sectors,N₂O,Gg,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.07,0.07,,,,,,
Albania,1. Energy,1.B Fugitive Emissions from Fuels,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,7.45668,7.47768,7.49868,7.51968,7.54068,7.56,7.58268,7.60368,7.62468,7.64568,,,,,,
Albania,1. Energy,1.B Fugitive Emissions from Fuels,CH₄,Gg,,,,,,,,,,,0.35508,0.35608,0.35708,0.35808,0.35908,0.36,0.36108,0.36208,0.36308,0.36408,,,,,,
